Kategori,Sub-Kategori,Fitur/Fungsi,Deskripsi,Teknologi/Implementasi,Status
Anomaly Detection,Operator Actions,Resolve Anomaly,"Operator dapat resolve dengan root cause dan notes",AnomalyLog.IsResolved,Active
Anomaly Detection,Operator Actions,Add Notes,"Tambahkan catatan operator (max 1000 karakter)",AnomalyLog.OperatorNotes,Active
Anomaly Detection,Auto Actions,Auto Acknowledge,"Auto-acknowledge anomali saat kondisi kembali normal",Background Service,Active
Anomaly Detection,Auto Actions,Counter Reset,"Reset counter saat daya kembali ke zona normal",Background Service Loop,Active
Anomaly Detection,Reports,Monthly Report Generation,"Generate laporan bulanan otomatis dengan summary",AnomalyMonthlyReport,Active
Anomaly Detection,Reports,Summary Statistics,"Total anomalies, overload/drop count, affected devices",LINQ Aggregation,Active
Anomaly Detection,Reports,Top Affected Device,"Device dengan anomali terbanyak di bulan tersebut",LINQ GroupBy + OrderBy,Active
Anomaly Detection,Reports,Recommendations,"Rekomendasi berdasarkan pola anomali",Monthly Report Generator,Active
Anomaly Detection,UI,Anomaly Information Center,"Dashboard khusus monitoring anomali dengan filter",MonitoringController.AnomalyLogs,Active
Anomaly Detection,UI,Anomaly Table,"Tabel anomali dengan sorting, filtering, pagination",jQuery DataTable,Active
Anomaly Detection,UI,Severity Badges,"Badge warna untuk severity levels",Bootstrap Badges,Active
Anomaly Detection,UI,Resolution Status,"Status badge untuk acknowledged/resolved",Bootstrap Badges,Active
Energy Aggregation,Hourly,Perhitungan Energy per Jam,"Agregasi energy kWh per jam dari KWHData",HourlyEnergy Table,Active
Energy Aggregation,Hourly,30-Detik Update,"Update data hourly setiap 30 detik dari listener",Background Calculation,Active
Energy Aggregation,Daily,Perhitungan Energy per Hari,"Agregasi energy kWh per hari dari hourly",DailyEnergy Table,Active
Energy Aggregation,Daily,Hourly Sum,"Sum hourly energy untuk daily total",LINQ Sum,Active
Energy Aggregation,Monthly,Perhitungan Energy per Bulan,"Agregasi energy kWh per bulan dari daily",MonthlyEnergy Table,Active
Energy Aggregation,Monthly,Daily Sum,"Sum daily energy untuk monthly total",LINQ Sum,Active
Energy Aggregation,Yearly,Perhitungan Energy per Tahun,"Agregasi energy kWh per tahun dari monthly",YearlyEnergy Table,Active
Energy Aggregation,Yearly,Monthly Sum,"Sum monthly energy untuk yearly total",LINQ Sum,Active
Energy Aggregation,Dashboard,Usage Statistics Page,"Halaman statistik penggunaan dengan grafik",UsageStatistics.cshtml,Active
Energy Aggregation,Dashboard,Hourly Chart,"Grafik batang konsumsi per jam (24 jam)",Chart.js Bar Chart,Active
Energy Aggregation,Dashboard,Daily Chart,"Grafik batang konsumsi per hari (bulan berjalan)",Chart.js Bar Chart,Active
Energy Aggregation,Dashboard,Monthly Chart,"Grafik batang konsumsi per bulan (tahun berjalan)",Chart.js Bar Chart,Active
Energy Aggregation,Dashboard,Real-time kWh,"Tracking kWh real-time jam berjalan",HourlyEnergy Current,Active
Energy Aggregation,Dashboard,Statistics Cards,"Total today, avg/hour, peak hour, total month, avg/day, peak day, total year, avg/month, peak month",Calculated Statistics,Active
Energy Aggregation,Dashboard,Estimated Cost,"Perhitungan estimasi biaya berdasarkan tarif/kWh",Tariff × Total kWh,Active
Energy Aggregation,Tariff,Tariff Configuration,"Konfigurasi tarif per kWh via AppSettings",Tariff.PerKWh Setting,Active
Energy Aggregation,API,Usage Statistics API,"POST /api/usage-statistics dengan date filter",ApiController,Active
Energy Aggregation,API,Per-Device Statistics,"POST /api/usage-statistics/{deviceKey}",ApiController,Active
Authentication,Registration,Email-based Registration,"Registrasi dengan email sebagai username",ASP.NET Core Identity Custom,Active
Authentication,Registration,Password Hashing,"PBKDF2 hashing dengan Rfc2898DeriveBytes",PasswordHasher Service,Active
Authentication,Registration,Email Verification Token,"Generate secure token 64 bytes random",RandomNumberGenerator,Active
Authentication,Registration,Token Hashing,"Hash token dengan SHA256 sebelum simpan ke DB",SHA256 Hash,Active
Authentication,Registration,Token Expiry,"Token verifikasi email expire dalam 24 jam",DateTime.UtcNow + 24h,Active
Authentication,Registration,Verification Email,"Kirim email verifikasi dengan link token",EmailService SendVerificationEmail,Active
Authentication,Registration,Registration Success,"Halaman konfirmasi setelah registrasi berhasil",RegistrationSuccess.cshtml,Active
Authentication,Login,Cookie Authentication,"Cookie-based authentication dengan Claims","ASP.NET Core Cookies",Active
Authentication,Login,Remember Me,"Persistent login 7 hari dengan remember me",AuthenticationProperties ExpiresUtc,Active
Authentication,Login,Session Expiry,"Session timeout 30 menit tanpa remember me",AuthenticationProperties ExpiresUtc,Active
Authentication,Login,Account Lockout,"Lockout 15 menit setelah 5 percobaan gagal",AccessFailedCount + LockoutEnd,Active
Authentication,Login,Email Normalization,"Normalisasi email: lowercase + trim + regex sanitize",NormalizeEmail Method,Active
Authentication,Login,Role-based Claims,"Claims: Name, Email, Role, NameIdentifier",ClaimsIdentity,Active
Authentication,Login,Security Audit Login,"Log semua percobaan login (sukses/gagal) ke audit",SecurityAuditLog,Active
Authentication,Email Verification,Verify Email Endpoint,"GET /Account/VerifyEmail dengan email + token",AccountController.VerifyEmail,Active
Authentication,Email Verification,Token Validation,"Validasi token hash + expiry + purpose",LINQ Find + IsValid,Active
Authentication,Email Verification,Set Confirmed,"Set EmailConfirmed = true setelah verifikasi",ApplicationUser Update,Active
Authentication,Email Verification,Mark Token Used,"Set token IsUsed = true + UsedAt",EmailVerificationToken Update,Active
Authentication,Email Verification,Send Access Request,"Kirim email approval request ke Master Admin",SendAccessRequestToAdminAsync,Active
Authentication,Password Reset,Forgot Password Request,"POST /Account/ForgotPassword dengan email",ForgotPassword.cshtml,Active
Authentication,Password Reset,Reset Token Generation,"Generate secure token untuk password reset",GenerateSecureToken Method,Active
Authentication,Password Reset,Reset Token Expiry,"Token reset password expire dalam 1 jam",DateTime.UtcNow + 1h,Active
Authentication,Password Reset,Reset Email,"Kirim email reset password dengan link token",EmailService SendPasswordResetEmail,Active
Authentication,Password Reset,Reset Password Page,"GET /Account/ResetPassword dengan email + token",ResetPassword.cshtml,Active
Authentication,Password Reset,Password Update,"Update password hash dan mark token used",ApplicationUser Update,Active
Authentication,Admin Approval,Approval Request Flow,"User verified email → approval request ke Master Admin",EmailVerificationToken ApprovalRequest,Active
Authentication,Admin Approval,Approve Endpoint,"GET /AdminApproval/Approve dengan email + token",AdminApprovalController,Active
Authentication,Admin Approval,Role Assignment,"Set role Viewer/Operator/Admin saat approval",ApplicationUser.Role Update,Active
Authentication,Admin Approval,Reject Endpoint,"GET /AdminApproval/Reject untuk menolak request",AdminApprovalController.Reject,Active
Authentication,Admin Approval,Pending Status,"User dengan Role=None tidak bisa login",Login Check Role != None,Active
Authorization,RBAC,Role Definitions,"4 roles: None (pending), Viewer, Operator, Admin",UserRoles Enum,Active
Authorization,RBAC,Viewer Access,"Viewer: read-only access ke monitoring",Authorize Roles Attribute,Active
Authorization,RBAC,Operator Access,"Operator: Viewer + device control + anomaly actions",Authorize Roles Attribute,Active
Authorization,RBAC,Admin Access,"Admin: Operator + settings access",Authorize Roles Attribute,Active
Authorization,RBAC,Master Admin,"Master Admin: Admin + user management",Notification.MasterAdminEmail Setting,Active
Authorization,User Management,User List,"Tabel semua users (kecuali Master Admin)",UserManagementController.Index,Active
Authorization,User Management,Change Role,"Dropdown change role Viewer/Operator/Admin",UpdateRole POST Endpoint,Active
Authorization,User Management,Toggle Active,"Toggle user active/inactive status",ToggleActive POST Endpoint,Active
Authorization,User Management,Delete User,"Delete user dengan konfirmasi",Delete POST Endpoint,Active
Authorization,User Management,Master Admin Protection,"Master Admin tidak dapat dihapus/diubah role",IsMasterAdminAsync Check,Active
Authorization,User Management,Related Tokens Cleanup,"Hapus EmailVerificationTokens saat delete user",EF Core RemoveRange,Active
Authorization,Access Denied,Access Denied Page,"Halaman AccessDenied untuk unauthorized access",AccountController.AccessDenied,Active
Notification,Email,SMTP Configuration,"Konfigurasi SMTP server, port, credentials",NotificationSettings,Active
Notification,Email,Sender Configuration,"Sender email dan password dari AppSettings",Notification.SenderEmail/Password,Active
Notification,Email,Enable/Disable,"Enable email notifications via toggle",Notification.EnableEmail,Active
Notification,Email,HTML Template,"Template email HTML dengan gradient styling",StringBuilder HTML,Active
Notification,Email,Alert Detail Cards,"Cards: current power, threshold, deviation",HTML Table Layout,Active
Notification,Email,Device Status Table,"Tabel status device: voltage, current, PF, freq, energy",HTML Table,Active
Notification,Email,Anomaly Summary,"Summary anomali 24 jam: total, overload, drop",LINQ Count 24h Window,Active
Notification,Email,Severity Badge,"Badge warna severity level",Inline CSS Badge,Active
Notification,WhatsApp,Wablas API Integration,"Integration dengan Wablas WhatsApp API",HttpClient POST,Active
Notification,WhatsApp,Server URL,"Wablas server URL dari AppSettings",Notification.WablasServerUrl,Active
Notification,WhatsApp,Token Authentication,"Wablas API token authentication",Notification.WablasToken,Active
Notification,WhatsApp,Secret Key,"Wablas secret key untuk signature",Notification.WablasSecretKey,Active
Notification,WhatsApp,Phone Numbers,"Multiple phone numbers (comma-separated)",Notification.WablasPhoneNumbers,Active
Notification,WhatsApp,Markdown Format,"Message format markdown dengan emoji",String Format,Active
Notification,WhatsApp,Enable/Disable,"Enable WhatsApp notifications via toggle",Notification.EnableWhatsApp,Active
Notification,Instant Alert,Real-time Anomaly Alert,"Kirim alert real-time saat anomali terdeteksi",SendAnomalyAlertAsync,Active
Notification,Instant Alert,Test Notification,"Test email dan WhatsApp dari settings page",TestNotification API,Active
Notification,Instant Alert,Instant Alert Toggle,"Enable/disable instant alerts",Notification.SendInstantAlert,Active
Notification,Downtime Alert,Power During Downtime,"Alert khusus saat device masih nyala di jam mati",SendDowntimePowerAlertAsync,Active
Notification,Downtime Alert,Downtime Period,"Konfigurasi periode downtime (start/end hour)",AppSettings DowntimeHours,Active
Notification,Periodic Reports,Hourly Report,"Laporan berkala per jam (opsional)",Notification.SendHourlyReport,Active
Notification,Periodic Reports,Daily Report,"Laporan harian pada waktu yang ditentukan",Notification.SendDailyReport,Active
Notification,Periodic Reports,Daily Report Time,"Waktu pengiriman daily report (HH:MM)",Notification.DailyReportTime,Active
Notification,Periodic Reports,Monthly Report,"Laporan bulanan pada hari yang ditentukan",Notification.SendMonthlyReport,Active
Notification,Periodic Reports,Monthly Report Day,"Hari pengiriman monthly report (1-31)",Notification.MonthlyReportDay,Active
Notification,Periodic Reports,Monthly Report Time,"Waktu pengiriman monthly report (HH:MM)",Notification.MonthlyReportTime,Active
Security,Audit Logging,Security Actions Enum,"Enum SecurityAction untuk semua aksi security",SecurityAuditLog.Action,Active
Security,Audit Logging,Login Audit,"Log semua percobaan login (sukses/gagal)",SecurityAction.Login/LoginFailed,Active
Security,Audit Logging,Logout Audit,"Log logout user",SecurityAction.Logout,Active
Security,Audit Logging,Register Audit,"Log registrasi user baru",SecurityAction.Register,Active
Security,Audit Logging,Email Verification Audit,"Log email verification sent/verified",SecurityAction.EmailVerified/EmailVerificationSent,Active
Security,Audit Logging,Password Reset Audit,"Log password reset requested/completed",SecurityAction.PasswordResetRequested/PasswordReset,Active
Security,Audit Logging,Lockout Audit,"Log account lockout events",SecurityAction.Lockout,Active
Security,Audit Logging,Settings Audit,"Log settings viewed/updated",SecurityAction.SettingsViewed/SettingsUpdated,Active
Security,Audit Logging,Relay Control Audit,"Log relay control actions",SecurityAction.RelayControl,Active
Security,Audit Logging,OTP Audit,"Log OTP generated/validated",SecurityAction.OTPGenerated/OTPValidated,Active
Security,Audit Logging,Role Change Audit,"Log user role changes",SecurityAction.RoleChanged,Active
Security,Audit Logging,Access Request Audit,"Log access request sent to admin",SecurityAction.AccessRequestSent,Active
Security,Audit Logging,Anomaly Actions Audit,"Log anomaly acknowledged/resolved",SecurityAction.AnomalyAcknowledged/AnomalyResolved,Active
Security,Audit Logging,Export Data Audit,"Log data export actions",SecurityAction.ExportData,Active
Security,Audit Logging,IP Address Tracking,"Track IP address untuk setiap audit event",SecurityAuditLog.IpAddress,Active
Security,Audit Logging,User Agent Tracking,"Track user agent browser",SecurityAuditLog.UserAgent,Active
Security,Audit Logging,Timestamp UTC,"Semua timestamp dalam UTC",SecurityAuditLog.Timestamp,Active
Security,Rate Limiting,Relay Control Rate Limit,"10 requests per 60 detik per user",MemoryCache Sliding Window,Active
Security,Rate Limiting,Rate Limit Key,"Key: RelayRateLimit_{userIdentifier}",MemoryCache Key Pattern,Active
Security,Rate Limiting,Sliding Window,"Window sliding: remove timestamps > 60s ago",LINQ Where + List,Active
Security,Rate Limiting,Rate Limit Response,"Return error 429/400 jika rate limited",ApiController RelayControl,Active
Security,Encryption,AES-256 Encryption,"AES encryption untuk sensitive data",AesEncryptionService,Active
Security,Encryption,Password Hashing,"PBKDF2 hashing dengan 256-bit output",PasswordHasher Service,Active
Security,Encryption,Secure Token Generation,"64 bytes random token dengan RNGCryptoServiceProvider",RandomNumberGenerator,Active
Security,Encryption,Token Hashing,"SHA256 hash sebelum simpan token ke DB",SHA256 Hash,Active
Security,OTP,OTP Generation,"Generate OTP 6 digit random",Random 6-digit Code,Active
Security,OTP,OTP Email,"Kirim OTP ke email user",EmailService SendOTP,Active
Security,OTP,OTP Validation,"Validasi OTP code dengan expiry 5 menit",OTP Table + Expiry Check,Active
Security,OTP,OTP for Device OFF,"Wajib OTP untuk tombol OFF device",ApiController RelayControl,Active
Data Management,Archiving,Max Capacity Check,"Check total records vs maxCapacity (default 30k)",EF Core Count,Active
Data Management,Archiving,Archive Old Data,"Archive data tertua ke KWHData_History",LINQ OrderBy + Take,Active
Data Management,Archiving,Bulk Insert History,"Insert data ke history table",EF Core AddRange,Active
Data Management,Archiving,Bulk Delete,"Delete data dari KWHData setelah archive",EF Core RemoveRange,Active
Data Management,Archiving,Archiving Log,"Log archiving event ke AppLog",AppLog Entity,Active
Data Management,CSV Export,Export to CSV,"Export data monitoring ke CSV",StringBuilder CSV,Active
Data Management,CSV Export,CsvEscape,"Escape double quotes untuk CSV",CsvEscape Method,Active
Data Management,CSV Export,CultureInfo,"Use CultureInfo.InvariantCulture untuk format",CultureInfo.InvariantCulture,Active
Data Management,CSV Export,File Download,"Return FileResult dengan filename timestamp",File(bytes, "text/csv", fileName),Active
Data Management,Failed Messages,Failed Message Queue,"Queue pesan MQTT yang gagal diproses",FailedMessages Table,Active
Data Management,Failed Messages,Retry Count,"Track retry count untuk failed messages",FailedMessage.RetryCount,Active
Data Management,Failed Messages,Resolved Flag,"Mark failed message sebagai resolved",FailedMessage.IsResolved,Active
Data Management,AppLog,Application Logging,"Log aplikasi untuk debugging",AppLog Entity,Active
Data Management,AppLog,Log Levels,"LogLevel: Information, Warning, Error",AppLog.LogLevel,Active
Data Management,AppLog,Topic Tracking,"Track topic MQTT yang terkait",AppLog.Topic,Active
Data Management,AppLog,DeviceKey Tracking,"Track deviceKey yang terkait",AppLog.DeviceKey,Active
Configuration,AppSettings,Dynamic Settings Load,"Load settings dari AppSettingsRecords ke cache",AppSettingsCache.GetAll,Active
Configuration,AppSettings,Cache Singleton,"Singleton cache dengan TTL 5 menit",AppSettingsCache Singleton,Active
Configuration,AppSettings,Auto-refresh Cache,"Auto-refresh saat AppSettingsRecords berubah",ApplicationDbContext.AppSettingsChanged Hook,Active
Configuration,AppSettings,Background Refresh,"Background refresh non-blocking dengan Interlocked",Interlocked Guard,Active
Configuration,MQTT,MQTT Broker,"MQTT broker hostname/IP",MQTT.Broker Setting,Active
Configuration,MQTT,MQTT Port,"MQTT port (1883/8883)",MQTT.Port Setting,Active
Configuration,MQTT,Use TLS,"Enable TLS/SSL untuk MQTT",MQTT.UseTls Setting,Active
Configuration,MQTT,Client ID,"MQTT client identifier",MQTT.ClientId Setting,Active
Configuration,MQTT,Username/Password,"MQTT credentials",MQTT.Username/Password Setting,Active
Configuration,MQTT,CA Certificate,"MQTT CA certificate filename",MQTT.TlsCaCertFile Setting,Active
Configuration,MQTT,Client Certificate,"MQTT client certificate filename",MQTT.TlsClientCertFile Setting,Active
Configuration,MQTT,Certificate Password,"MQTT client certificate password",MQTT.TlsClientCertPassword Setting,Active
Configuration,MQTT,Skip Validation,"Skip certificate validation (dev only)",MQTT.TlsSkipCertValidation Setting,Active
Configuration,Notification,SMTP Server,"SMTP server hostname",Notification.SmtpServer Setting,Active
Configuration,Notification,SMTP Port,"SMTP port (587/465)",Notification.SmtpPort Setting,Active
Configuration,Notification,Sender Email,"Email pengirim",Notification.SenderEmail Setting,Active
Configuration,Notification,Sender Password,"Email password/sender password",Notification.SenderPassword Setting,Active
Configuration,Notification,Enable Email,"Toggle email notifications",Notification.EnableEmail Setting,Active
Configuration,Notification,Wablas Server URL,"Wablas WhatsApp API URL",Notification.WablasServerUrl Setting,Active
Configuration,Notification,Wablas Token,"Wablas API token",Notification.WablasToken Setting,Active
Configuration,Notification,Wablas Secret Key,"Wablas API secret key",Notification.WablasSecretKey Setting,Active
Configuration,Notification,Wablas Phone Numbers,"WhatsApp phone numbers (comma-separated)",Notification.WablasPhoneNumbers Setting,Active
Configuration,Notification,Enable WhatsApp,"Toggle WhatsApp notifications",Notification.EnableWhatsApp Setting,Active
Configuration,Notification,Send Instant Alert,"Toggle instant anomaly alerts",Notification.SendInstantAlert Setting,Active
Configuration,Notification,Send Hourly Report,"Toggle hourly reports",Notification.SendHourlyReport Setting,Active
Configuration,Notification,Send Daily Report,"Toggle daily reports",Notification.SendDailyReport Setting,Active
Configuration,Notification,Send Monthly Report,"Toggle monthly reports",Notification.SendMonthlyReport Setting,Active
Configuration,Notification,Daily Report Time,"Daily report time (HH:MM)",Notification.DailyReportTime Setting,Active
Configuration,Notification,Monthly Report Day,"Monthly report day (1-31)",Notification.MonthlyReportDay Setting,Active
Configuration,Notification,Monthly Report Time,"Monthly report time (HH:MM)",Notification.MonthlyReportTime Setting,Active
Configuration,Notification,Master Admin Email,"Master admin email untuk approval",Notification.MasterAdminEmail Setting,Active
Configuration,Load Thresholds,Max Capacity,"Max capacity Watt (default 30000)",Load.MaxCapacity Setting,Active
Configuration,Load Thresholds,Medium Threshold,"Medium load percentage (default 70%)",Load.MediumThreshold Setting,Active
Configuration,Load Thresholds,Normal Threshold,"Normal load percentage (default 30%)",Load.NormalThreshold Setting,Active
Configuration,EMA,EMA Period,"EMA calculation period (default 20)",emaPeriod Setting,Active
Configuration,EMA,EMA Mode,"EMA threshold mode: manual/fibonacci",emaMode Setting,Active
Configuration,EMA,Upper Threshold,"Manual mode upper threshold % (default 30)",emaUpperThreshold Setting,Active
Configuration,EMA,Lower Threshold,"Manual mode lower threshold % (default 50)",emaLowerThreshold Setting,Active
Configuration,EMA,Fibonacci Upper,"Fibonacci upper multiplier (default 1.618)",emaFibUpper Setting,Active
Configuration,EMA,Fibonacci Lower,"Fibonacci lower multiplier (default 0.618)",emaFibLower Setting,Active
Configuration,EMA,Show EMA Line,"Show/hide EMA line on chart",emaShowLine Setting,Active
Configuration,EMA,Show Thresholds,"Show/hide threshold bands on chart",emaShowThresholds Setting,Active
Configuration,EMA,Initial 100 Points,"Use 100 initial points for EMA initialization",useInitial100ForEma Setting,Active
Configuration,UI,Refresh Interval,"Dashboard refresh interval seconds (default 10)",refreshInterval Setting,Active
Configuration,UI,Chart Data Points,"Number of chart data points (default 20)",chartDataPoints Setting,Active
Configuration,UI,Tariff per kWh,"Electricity tariff per kWh (default 1500)",Tariff.PerKWh Setting,Active
Configuration,Data Retention,MaxCapacity,"Max records in KWHData (default 30000)",Data.MaxCapacity Setting,Active
Health Monitoring,Health Check,Health Endpoint,"GET /health untuk monitoring kesehatan sistem",HealthController,Active
Health Monitoring,Database,Connection Resilience,"Retry policy 3x dengan 10s delay",EF Core EnableRetryOnFailure,Active
Health Monitoring,Database,MARS Support,"MultipleActiveResultSets=true untuk concurrent queries",Connection String,Active
Health Monitoring,Database,Database Error Page,"Halaman error database custom",DatabaseError.cshtml,Active
Health Monitoring,MQTT,MQTT Connection Test,"Test connection endpoint dengan settings",MqttService.TestConnectionAsync,Active
Health Monitoring,MQTT,MQTT Logging,"Log connection/disconnect events",ILogger<MqttService>,Active
Health Monitoring,Background Services,AnomalyNotificationService,"Background service untuk anomaly monitoring",AnomalyNotificationBackgroundService,Active
Health Monitoring,Background Services,Service Lifetime,"BackgroundService singleton lifetime",IHostedService,Active
UI/UX,Responsive Design,Bootstrap 5,"Responsive design dengan Bootstrap 5",Bootstrap 5 CSS,Active
UI/UX,Responsive Design,Mobile-Friendly,"UI optimized untuk mobile devices",Bootstrap Grid System,Active
UI/UX,Dark Mode,Dark Mode Toggle,"Toggle mode gelap untuk kenyamanan visual",Custom CSS Dark Theme,Active
UI/UX,Dark Mode,Dark Mode Persist,"Persist dark mode preference di localStorage",JavaScript localStorage,Active
UI/UX,Real-time Updates,Auto-refresh,"Auto-refresh data setiap interval",JavaScript setInterval,Active
UI/UX,Real-time Updates,Loading Spinners,"Spinner loading untuk operasi async",Bootstrap Spinner,Active
UI/UX,Charts,Chart.js Integration,"Chart.js untuk visualisasi data",Chart.js Library,Active
UI/UX,Charts,Multi-Dataset Charts,"Charts dengan multiple datasets (R/S/T phases)",Chart.js Dataset Array,Active
UI/UX,Charts,Time Labels,"X-axis time labels (HH:mm:ss)",Chart.js Time Labels,Active
UI/UX,Modals,Bootstrap Modals,"Modal dialogs untuk detail dan konfirmasi",Bootstrap Modal,Active
UI/UX,Modals,Settings Modal,"Modal untuk pengaturan EMA dan thresholds",Settings Modal,Active
UI/UX,Modals,OTP Modal,"Modal untuk input OTP",OTP Modal,Active
UI/UX,Notifications,Toast Messages,"Toast notifications untuk feedback user",Bootstrap Toast,Active
